wl,Barker ave
0.35,2.512940934
0.3619,2.488684067
0.3743,2.468373006
0.387,2.451417308
0.4002,2.436876143
0.4139,2.424309059
0.428,2.41344491
0.4426,2.403922244
0.4577,2.395531801
0.4733,2.388104046
0.4894,2.381500239
0.5061,2.375572751
0.5233,2.370267767
0.5412,2.365453016
0.5596,2.361122073
0.5787,2.357174891
0.5984,2.353590176
0.6188,2.350312309
0.6399,2.347310983
0.6618,2.344546974
0.6843,2.342020756
0.7076,2.339687324
0.7318,2.337521223
0.7567,2.335524507
0.7825,2.333666333
0.8092,2.331935304
0.8368,2.330320602
0.8653,2.328812022
0.8948,2.327395403
0.9253,2.326062994
0.9569,2.324803545
0.9895,2.323614401
1.023,2.322491923
1.058,2.321411089
1.094,2.320382899
1.131,2.319401297
1.17,2.318436699
1.21,2.317510671
1.251,2.316617697
1.294,2.315732625
1.338,2.314872675
1.384,2.314014773
1.431,2.31317411
1.48,2.312329251
1.53,2.311493985
1.582,2.310648118
1.636,2.30978876
1.692,2.30891283
1.75,2.308017084
1.809,2.307113418
1.871,2.30616776
1.935,2.305191884
2.001,2.304182111
2.069,2.303134679
2.139,2.302045755
2.212,2.300895559
2.288,2.299679309
2.366,2.298408344
2.446,2.297078292
2.53,2.295650311
2.616,2.294152543
2.705,2.292562042
2.797,2.290872335
2.893,2.28905743
2.991,2.287147946
3.093,2.285097305
3.199,2.282895548
3.308,2.280553892
3.421,2.2780407
3.537,2.275367475
3.658,2.27247541
3.783,2.269373506
3.911,2.26607348
4.045,2.262480904
4.183,2.258629471
4.325,2.254501091
4.473,2.250014425
4.625,2.24520505
4.783,2.239982364
4.946,2.2343475
5.115,2.228230892
5.289,2.221630412
5.469,2.214465908
5.656,2.206644965
5.849,2.198150972
6.048,2.188922203
6.254,2.178839402
6.467,2.167816472
6.688,2.155699471
6.916,2.142426868
7.152,2.127806834
7.395,2.111747512
7.648,2.093857751
7.908,2.074124364
8.178,2.052051936
8.457,2.02738381
8.745,1.999721712
9.043,1.968469692
9.352,1.932872341
9.67,1.892358545
10,1.845491943
